date,77491_32247,77495_32247,77500_32247,77500_32252,77504_32234,77504_32238,77504_32243,77504_32247,77504_32252,77509_32238,77509_32243,77509_32247,77509_32252,77513_32243,77513_32247,77513_32252,77513_32256,77513_32261,77518_32252,77518_32256,77518_32261,77518_32265,77522_32234,77522_32238,77522_32256,77522_32261,77522_32265,77522_32270,77527_32234,77527_32238,77527_32243,77527_32247,77527_32265,77527_32270,77527_32274,77527_32279,77527_32283,77531_32234,77531_32238,77531_32243,77531_32247,77531_32252,77531_32256,77531_32261,77531_32265,77531_32270,77531_32274,77531_32279,77531_32283,77531_32288,77536_32234,77536_32247,77536_32252,77536_32256,77536_32261,77536_32265,77536_32270,77536_32274,77536_32279,77536_32283,77536_32288,77540_32229,77540_32234,77540_32270,77540_32274,77540_32279,77540_32283,77540_32288,77545_32274,.geo
2000_02_24,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_02_25,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_02_26,7351,7351,7351,7379,6914,6919,6919,7351,7379,7102,7552,7379,7379,7552,7552,7379,7396,7396,7393,7396,-11000,7638,6966,6966,7393,-11000,7638,7638,6065,5845,7635,7635,7100,7518,7704,7284,7513,5469,5845,5845,7635,7243,7243,-11000,7100,7518,7704,7513,7219,7219,5469,6382,7243,-11000,7100,7100,7518,7704,7513,7219,7219,5469,5469,7518,7298,7513,7219,7378,7298,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_02_27,7657,7851,7851,7899,8028,8117,8085,8030,7899,8042,7849,7903,7899,8042,7816,8124,8055,8020,8156,8055,7885,-11000,4367,8235,7824,8094,-11000,8024,4367,2564,8323,8348,-11000,8024,8182,-11000,8145,4788,6393,7363,8348,8071,8409,8300,-11000,8116,7987,-11000,8152,7529,4788,7441,8071,8409,-11000,8190,8190,8451,-11000,8152,7529,4949,4866,8190,8541,-11000,8220,7845,7999,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_02_28,6727,-11000,-11000,7440,6890,6809,7011,-11000,7439,7220,7011,7136,7439,-11000,7136,7439,7390,7495,7531,7390,7789,7789,6133,7114,7272,7272,7789,7960,5097,-11000,7649,7649,7960,7960,7958,7230,7230,5097,-11000,6431,7649,7439,7434,7434,7960,7960,7958,7230,6902,6902,5097,7072,7439,6281,7434,7389,7389,7958,7230,6902,6902,5641,-11000,7389,7589,7480,6902,6902,7589,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_02_29,5371,5371,5371,5285,4994,4880,4998,5140,5079,4778,4998,4998,5079,4864,4922,5079,4997,5078,4922,4997,5078,5143,4785,4702,4997,4750,4970,-11000,4484,4484,4795,4603,4970,-11000,-11000,5389,5419,4640,4484,4774,4603,4564,4564,4776,4970,-11000,4932,5389,5175,5139,4640,4808,4564,4564,4776,4841,-11000,4932,5121,5175,-11000,4525,4640,-11000,4666,5121,5175,-11000,4631,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_03_01,6623,6623,6623,6350,6662,6677,6677,6526,6350,7120,7027,6526,6350,7027,7027,6350,6982,6774,6955,6982,7047,6965,5225,6784,6982,7047,7047,-11000,5225,5175,6682,6893,-11000,-11000,7035,6716,6534,5232,5230,5175,6893,6659,6659,6862,-11000,-11000,7035,6716,6548,-11000,5232,5783,6659,5919,6862,-11000,6508,6508,6592,6548,-11000,4950,4950,6508,6508,6493,6613,7175,6458,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_03_02,6908,6908,6908,6995,7151,7151,6962,6995,6995,7151,6962,6995,6995,6958,6946,6995,-11000,7088,-11000,-11000,7235,7310,5757,6958,-11000,7235,7310,7310,5757,7264,6958,6873,7277,7277,7171,-11000,7019,5757,7264,7264,6873,-11000,-11000,7227,7277,7277,7122,-11000,6997,6997,5757,6902,-11000,6963,6963,7202,7175,7122,-11000,6997,6485,6449,6449,7175,6902,7052,7052,6485,7312,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_03_03,7308,7285,7285,7285,7296,7328,7307,7285,7397,7399,7307,7301,7397,7523,7376,7397,7370,7489,7503,7370,7656,7936,6537,7783,7370,7840,7665,7665,4857,3980,8121,8121,7861,8096,7888,8084,8038,5279,5115,7211,8121,8013,7824,7840,7861,8096,8091,8241,8125,-11000,5279,7084,8013,7013,7929,7747,8092,8267,8241,8125,-11000,4943,4943,8092,8267,8023,8023,-11000,7575,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_03_04,5220,5220,5220,5054,5451,5451,-11000,-11000,5054,5273,-11000,-11000,5054,4892,4892,4967,4967,4781,4967,4967,5071,4781,5320,5273,5071,5071,5181,5181,5448,-11000,-11000,4899,5181,5181,5143,5043,5247,5448,4871,4871,4899,5133,5071,5437,5181,5181,5143,5247,5247,5350,5448,5022,5133,5015,5437,5181,4955,5176,5247,5247,5350,5394,5394,4955,5176,5247,5177,5280,5176,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
