date,77491_32247,77495_32247,77500_32247,77500_32252,77504_32234,77504_32238,77504_32243,77504_32247,77504_32252,77509_32238,77509_32243,77509_32247,77509_32252,77513_32243,77513_32247,77513_32252,77513_32256,77513_32261,77518_32252,77518_32256,77518_32261,77518_32265,77522_32234,77522_32238,77522_32256,77522_32261,77522_32265,77522_32270,77527_32234,77527_32238,77527_32243,77527_32247,77527_32265,77527_32270,77527_32274,77527_32279,77527_32283,77531_32234,77531_32238,77531_32243,77531_32247,77531_32252,77531_32256,77531_32261,77531_32265,77531_32270,77531_32274,77531_32279,77531_32283,77531_32288,77536_32234,77536_32247,77536_32252,77536_32256,77536_32261,77536_32265,77536_32270,77536_32274,77536_32279,77536_32283,77536_32288,77540_32229,77540_32234,77540_32270,77540_32274,77540_32279,77540_32283,77540_32288,77545_32274,.geo
2000_02_24,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_02_25,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_02_26,73,73,73,73,69,69,69,73,73,71,75,73,73,75,75,73,73,73,73,73,-11000,76,69,69,73,-11000,76,76,60,58,76,76,71,75,77,72,75,54,58,58,76,72,72,-11000,71,75,77,75,-11000,-11000,54,63,72,-11000,71,71,75,77,75,-11000,-11000,54,54,75,72,75,-11000,-11000,72,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_02_27,76,78,78,78,80,81,80,80,78,80,78,79,78,80,78,81,80,80,81,80,78,-11000,-11000,82,78,80,-11000,80,-11000,25,83,-11000,-11000,80,81,-11000,81,-11000,-11000,73,-11000,-11000,84,83,-11000,81,79,-11000,81,75,-11000,74,-11000,84,-11000,81,81,84,-11000,81,75,-11000,-11000,81,85,-11000,82,78,79,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_02_28,67,-11000,-11000,74,68,68,70,-11000,74,72,70,71,74,-11000,71,74,73,74,75,73,77,77,61,71,72,72,77,79,50,-11000,76,76,79,79,79,72,72,50,-11000,64,76,74,74,74,79,79,79,72,69,69,50,70,74,62,74,73,73,79,72,69,69,56,-11000,73,75,74,69,69,75,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_02_29,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_03_01,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_03_02,69,69,69,69,71,71,69,69,69,71,69,69,69,69,69,69,-11000,70,-11000,-11000,72,73,-11000,69,-11000,72,73,73,-11000,-11000,69,68,72,72,71,-11000,-11000,-11000,-11000,-11000,68,-11000,-11000,72,72,72,71,-11000,-11000,-11000,-11000,69,-11000,69,69,72,71,71,-11000,-11000,-11000,-11000,-11000,71,69,-11000,-11000,-11000,73,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_03_03,73,72,72,72,72,73,73,72,73,73,73,73,73,75,73,73,73,74,75,73,76,79,-11000,77,73,78,76,76,-11000,-11000,81,81,78,80,78,80,80,-11000,-11000,72,81,80,78,78,78,80,80,82,81,-11000,-11000,70,80,70,79,77,80,82,82,81,-11000,-11000,-11000,80,82,80,80,-11000,75,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
2000_03_04,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599813]}"
