Year MB SLA_Rabatel Clear_sky_a_Dumont White_sky_a_Dumont modis_a_Davaze ndsi1 ndsi2
2000	-1.24   3180 0.28587	0.28687  0.3281  0.03	0.06  
2001	0.16	3100 0.35658	0.38194	 0.4563  0.13	0.29  
2002	-1.69	3060 0.26975	0.28327	 0.3585  -0.07	-0.02 
2003	-2.95	3180 0.1474	0.154  	 0.257   -0.11	-0.08 
2004	-2.45	3190 0.16155	0.1713 	 0.3223  -0.06	-0.03 
2005	-2.5	3200 0.17004	0.18954	 0.2632  -0.14	-0.13 
2006	-1.44	3200 0.27792	0.2669 	 0.31528 -0.07	-0.06 
2007	-2.25	3180 0.16879	0.18294	 0.30568 -0.06	-0.04 
2008	-1.81	3060 0.20118	0.22005	 0.39759 -0.04	0.03  
2009	-2.65	3190 0.14897	0.15998	 0.2623  -0.14	-0.07 
2010	-1	3160 -999	-999	 0.382   -0.01	0.08  
2011	-3.02	3160 -999	-999	 0.24675 -0.08	-0.06 
2012	-2.13	3185 -999	-999	 0.2782  -0.08	-0.04 
2013	-0.956	3120 -999	-999	 0.3979  0.06	0.12  
2014	-1.34	3180 -999	-999	 0.38956 0.04	0.03  
2015	-2.98	3240 -999	-999	 0.26395 -0.16	-0.11 
2016	-1.14	3220 -999	-999     -999	 0.02	0.17  
2017	-2.64   -999 -999	-999	 -999	 -0.14	-0.09 
2018	-2.02	-999 -999       -999	 -999	 -0.02	0.04  
2019	-2.88	-999 -999       -999	 -999	 -0.13	-0.06
